,Unnamed: 0,Activity:,Cause:,Country:,Function:,Location:,Region:,Year:
230,230,Transport - Land,Struck by,QATAR,Production,Onshore,Middle East,2014
231,231,Production operations,Exposure electrical,USA,Production,Onshore,North America,2012
232,232,Transport - Air,Struck by,RUSSIA,Drilling,Offshore,Russia & Central Asia,2017
233,233,"Transport - Water, incl. marine activity","Caught in, under or between (excl. dropped objects)",DENMARK,Drilling,Offshore,Europe,2009
234,234,Production operations,Struck by,USA,Production,Onshore,North America,2017
235,235,Production operations,Struck by,QATAR,Production,Onshore,Middle East,2013
236,236,"Construction, commissioning, decommissioning",Falls from height,QATAR,Construction,Offshore,Middle East,2010
237,237,"Diving, subsea, ROV",Exposure electrical,AUSTRALIA,Unspecified,Offshore,Asia/Australasia,2016
238,238,"Lifting, crane, rigging, deck operations",Struck by,KUWAIT,Unspecified,Onshore,Middle East,2016
239,239,"Construction, commissioning, decommissioning",Struck by,DENMARK,Construction,Onshore,Europe,2015
240,240,"Diving, subsea, ROV",Other,BRAZIL,Unspecified,Offshore,South & Central America,2017
241,241,"Maintenance, inspection, testing",Struck by,UK,Production,Offshore,Europe,2013
242,242,"Diving, subsea, ROV","Water related, drowning",UK,Construction,Offshore,Europe,2012
243,243,Production operations,Struck by,NEW ZEALAND,Production,Offshore,Asia/Australasia,2016
244,244,"Lifting, crane, rigging, deck operations",Exposure electrical,YEMEN,Production,Offshore,Middle East,2015
245,245,"Construction, commissioning, decommissioning",Struck by,DENMARK,Construction,Offshore,Europe,2017
246,246,"Drilling, workover, well services",Struck by,KENYA,Drilling,Onshore,Africa,2012
248,248,Transport - Land,Struck by,INDIA,Unspecified,Onshore,Asia/Australasia,2010
249,249,"Drilling, workover, well services",Struck by,USA,Drilling,Offshore,North America,2016
250,250,"Drilling, workover, well services",Other,KUWAIT,Unspecified,Onshore,Middle East,2013
251,251,"Construction, commissioning, decommissioning",Struck by,ROMANIA,Production,Onshore,Europe,2017
252,252,"Maintenance, inspection, testing",Falls from height,NETHERLANDS,Production,Offshore,Europe,2017
253,253,Production operations,Explosions or burns,UAE,Production,Onshore,Middle East,2010
254,254,Production operations,Explosions or burns,QATAR,Production,Offshore,Middle East,2017
255,255,"Maintenance, inspection, testing",Explosions or burns,THAILAND,Production,Offshore,Asia/Australasia,2010
256,256,Transport - Land,"Caught in, under or between (excl. dropped objects)",ROMANIA,Drilling,Onshore,Europe,2017
258,258,"Drilling, workover, well services",Struck by,BRAZIL,Drilling,Offshore,South & Central America,2014
259,259,"Maintenance, inspection, testing",Pressure release,YEMEN,Production,Onshore,Middle East,2011
260,260,"Lifting, crane, rigging, deck operations",Struck by,GREENLAND,Drilling,Offshore,Europe,2010
262,262,"Drilling, workover, well services",Struck by,KENYA,Drilling,Onshore,Africa,2012
263,263,Production operations,Explosions or burns,ANGOLA,Production,Onshore,Africa,2010
264,264,"Construction, commissioning, decommissioning",Exposure electrical,YEMEN,Production,Onshore,Middle East,2014
265,265,"Transport - Water, incl. marine activity","Caught in, under or between (excl. dropped objects)",PAPUA NEW GUINEA,Production,Offshore,Asia/Australasia,2015
266,266,Transport - Land,Struck by,SYRIA,Other,Onshore,Middle East,2000
267,267,"Transport - Water, incl. marine activity",Struck by,QATAR,Production,Offshore,Middle East,2013
268,268,Transport - Land,Assault or violent act,KENYA,Drilling,Onshore,Africa,2014
269,269,"Construction, commissioning, decommissioning",Pressure release,KAZAKHSTAN,Construction,Onshore,Russia & Central Asia,2012
270,270,"Drilling, workover, well services","Exposure noise, chemical, biological, vibration",UK,Drilling,Offshore,Europe,2013
271,271,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",AUSTRALIA,Production,Offshore,Asia/Australasia,2017
272,272,"Drilling, workover, well services",Falls from height,HUNGARY,Drilling,Onshore,Europe,2016
273,273,Unspecified - other,Struck by,UAE,Production,Offshore,Middle East,2009
274,274,"Maintenance, inspection, testing","Exposure noise, chemical, biological, vibration",QATAR,Production,Onshore,Middle East,2016
275,275,"Maintenance, inspection, testing",Pressure release,AUSTRALIA,Production,Onshore,Asia/Australasia,2011
276,276,Production operations,"Exposure noise, chemical, biological, vibration",USA,Production,Onshore,North America,2013
278,278,"Drilling, workover, well services",Falls from height,TANZANIA,Drilling,Offshore,Africa,2012
279,279,Production operations,"Exposure noise, chemical, biological, vibration",KAZAKHSTAN,Production,Onshore,Russia & Central Asia,2013
280,280,Transport - Land,"Caught in, under or between (excl. dropped objects)",USA,Production,Onshore,North America,2012
281,281,"Construction, commissioning, decommissioning",Exposure electrical,AUSTRIA,Construction,Onshore,Europe,2013
282,282,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",CANADA,Production,Onshore,North America,2017
283,283,"Diving, subsea, ROV","Water related, drowning",PAPUA NEW GUINEA,Production,Offshore,Asia/Australasia,2015
284,284,Production operations,"Exposure noise, chemical, biological, vibration",USA,Production,Onshore,North America,2013
285,285,Transport - Land,Struck by,SYRIA,Other,Onshore,Middle East,2000
286,286,Production operations,Pressure release,YEMEN,Production,Offshore,Middle East,2015
287,287,"Maintenance, inspection, testing",Falls from height,UK,Production,Offshore,Europe,2016
288,288,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",CHINA,Production,Offshore,Asia/Australasia,2012
289,289,Transport - Land,Struck by,ETHIOPIA,Exploration,Onshore,Africa,2012
290,290,"Drilling, workover, well services",Struck by,IRAQ,Exploration,Onshore,Middle East,2015
291,291,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",EGYPT,Drilling,Offshore,Africa,2014
292,292,"Maintenance, inspection, testing",Exposure electrical,QATAR,Production,Onshore,Middle East,2012
293,293,"Lifting, crane, rigging, deck operations",Struck by,KUWAIT,Unspecified,Onshore,Middle East,2016
294,294,Production operations,Struck by,INDIA,Production,Offshore,Asia/Australasia,2012
295,295,"Construction, commissioning, decommissioning",Falls from height,QATAR,Construction,Onshore,Middle East,2012
296,296,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",TUNISIA,Drilling,Onshore,Africa,2013
297,297,"Drilling, workover, well services",Pressure release,UAE,Production,Onshore,Middle East,2013
298,298,"Maintenance, inspection, testing",Struck by,QATAR,Production,Onshore,Middle East,2015
299,299,Transport - Land,Struck by,ARGENTINA,Production,Onshore,South & Central America,2017
300,300,"Drilling, workover, well services",Struck by,USA,Drilling,Offshore,North America,2015
301,301,Transport - Land,"Caught in, under or between (excl. dropped objects)",RUSSIA,Unspecified,Onshore,Russia & Central Asia,2013
302,302,Production operations,Struck by,YEMEN,Production,Onshore,Middle East,2014
303,303,Transport - Land,Struck by,YEMEN,Unspecified,Onshore,Middle East,2010
304,304,Transport - Land,Struck by,PAKISTAN,Unspecified,Onshore,Asia/Australasia,2010
305,305,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",USA,Production,Onshore,North America,2016
306,306,"Drilling, workover, well services",Struck by,USA,Drilling,Onshore,North America,2013
307,307,"Maintenance, inspection, testing",Struck by,QATAR,Production,Onshore,Middle East,2015
308,308,"Construction, commissioning, decommissioning",Exposure electrical,QATAR,Construction,Onshore,Middle East,2014
309,309,"Drilling, workover, well services",Struck by,UAE,Drilling,Onshore,Middle East,2016
310,310,"Construction, commissioning, decommissioning","Exposure noise, chemical, biological, vibration",AUSTRALIA,Construction,Offshore,Asia/Australasia,2009
311,311,"Construction, commissioning, decommissioning",Pressure release,KAZAKHSTAN,Construction,Onshore,Russia & Central Asia,2012
312,312,"Transport - Water, incl. marine activity","Cut, puncture, scrape",UAE,Production,Onshore,Middle East,2017
314,314,"Drilling, workover, well services",Struck by,USA,Drilling,Offshore,North America,2013
315,315,"Drilling, workover, well services",Struck by,KENYA,Drilling,Onshore,Africa,2012
316,316,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",CROATIA,Exploration,Onshore,Europe,2015
317,317,Production operations,Exposure electrical,COLOMBIA,Exploration,Offshore,South & Central America,2016
318,318,"Drilling, workover, well services",Struck by,ARGENTINA,Drilling,Onshore,South & Central America,2015
319,319,Transport - Land,Struck by,ALGERIA,Production,Onshore,Africa,2010
320,320,Production operations,Pressure release,TUNISIA,Production,Offshore,Africa,2012
321,321,Production operations,"Exposure noise, chemical, biological, vibration",UK,Production,Offshore,Europe,2017
322,322,"Maintenance, inspection, testing",Exposure electrical,AUSTRALIA,Production,Onshore,Asia/Australasia,2015
323,323,"Construction, commissioning, decommissioning",Pressure release,ANGOLA,Construction,Offshore,Africa,2013
324,324,"Maintenance, inspection, testing","Exposure noise, chemical, biological, vibration",TUNISIA,Production,Offshore,Africa,2013
325,325,Transport - Land,"Caught in, under or between (excl. dropped objects)",TUNISIA,Drilling,Onshore,Africa,2013
326,326,"Maintenance, inspection, testing",Pressure release,YEMEN,Production,Onshore,Middle East,2011
327,327,Transport - Land,Struck by,AUSTRALIA,Production,Onshore,Asia/Australasia,2014
328,328,"Drilling, workover, well services","Caught in, under or between (excl. dropped objects)",RUSSIA,Drilling,Onshore,Russia & Central Asia,2012
329,329,"Maintenance, inspection, testing",Other,QATAR,Production,Onshore,Middle East,2014
330,330,"Lifting, crane, rigging, deck operations",Struck by,USA,Production,Offshore,North America,2018
331,331,"Maintenance, inspection, testing",Exposure electrical,USA,Drilling,Onshore,North America,2013
332,332,"Construction, commissioning, decommissioning",Struck by,QATAR,Construction,Onshore,Middle East,2013
333,333,Transport - Land,Struck by,TUNISIA,Production,Offshore,Africa,2010
334,334,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",USA,Production,Onshore,North America,2016
335,335,"Drilling, workover, well services",Pressure release,USA,Drilling,Onshore,North America,2016
336,336,Production operations,Pressure release,UAE,Production,Onshore,Middle East,2011
337,337,"Office, warehouse, accommodation, catering",Struck by,UK,Drilling,Offshore,Europe,2012
338,338,Transport - Land,"Caught in, under or between (excl. dropped objects)",AUSTRALIA,Unspecified,Onshore,Asia/Australasia,2014
339,339,"Transport - Water, incl. marine activity","Water related, drowning",GREENLAND,Drilling,Offshore,Europe,2011
340,340,"Transport - Water, incl. marine activity",Struck by,QATAR,Production,Offshore,Middle East,2013
342,342,"Drilling, workover, well services",Struck by,GHANA,Drilling,Offshore,Africa,2012
343,343,Production operations,Struck by,INDIA,Production,Offshore,Asia/Australasia,2012
344,344,"Drilling, workover, well services",Pressure release,AUSTRIA,Drilling,Onshore,Europe,2014
345,345,Production operations,Other,AUSTRIA,Production,Onshore,Europe,2012
346,346,"Construction, commissioning, decommissioning",Exposure electrical,INDIA,Construction,Onshore,Asia/Australasia,2010
347,347,"Construction, commissioning, decommissioning",Exposure electrical,QATAR,Construction,Onshore,Middle East,2014
349,349,Transport - Land,"Caught in, under or between (excl. dropped objects)",INDONESIA,Exploration,Onshore,Asia/Australasia,2017
350,350,"Construction, commissioning, decommissioning",Pressure release,USA,Construction,Onshore,North America,2016
351,351,"Drilling, workover, well services",Pressure release,UAE,Production,Onshore,Middle East,2013
352,352,"Drilling, workover, well services",Struck by,RUSSIA,Drilling,Onshore,Russia & Central Asia,2011
353,353,Production operations,Struck by,INDIA,Production,Offshore,Asia/Australasia,2012
354,354,Transport - Land,Struck by,SUDAN,Other,Onshore,Africa,2000
355,355,"Drilling, workover, well services","Exposure noise, chemical, biological, vibration",ANGOLA,Drilling,Offshore,Africa,2013
357,357,"Drilling, workover, well services","Cut, puncture, scrape",MAURITANIA,Drilling,Onshore,Africa,2014
358,358,"Drilling, workover, well services",Struck by,USA,Drilling,Onshore,North America,2015
359,359,"Maintenance, inspection, testing",Pressure release,AUSTRALIA,Production,Onshore,Asia/Australasia,2015
360,360,"Lifting, crane, rigging, deck operations",Struck by,QATAR,Production,Offshore,Middle East,2012
361,361,"Drilling, workover, well services",Struck by,RUSSIA,Drilling,Onshore,Russia & Central Asia,2011
362,362,"Office, warehouse, accommodation, catering",Exposure electrical,GHANA,Production,Onshore,Africa,2014
364,364,Transport - Air,Other,DRC - Democratic Republic of the Congo (formerly Zaire),Production,Onshore,Africa,2011
365,365,Production operations,Pressure release,ROMANIA,Production,Onshore,Europe,2014
366,366,"Drilling, workover, well services",Pressure release,DENMARK,Drilling,Offshore,Europe,2012
367,367,Transport - Land,Struck by,INDIA,Unspecified,Onshore,Asia/Australasia,2010
368,368,"Drilling, workover, well services",Falls from height,AUSTRIA,Production,Onshore,Europe,2012
369,369,Production operations,Struck by,INDIA,Production,Offshore,Asia/Australasia,2012
370,370,Transport - Land,Struck by,AUSTRALIA,Exploration,Onshore,Asia/Australasia,2014
371,371,"Maintenance, inspection, testing",Other,AUSTRALIA,Production,Onshore,Asia/Australasia,2016
372,372,"Drilling, workover, well services",Pressure release,KENYA,Drilling,Onshore,Africa,2014
373,373,"Construction, commissioning, decommissioning",Other,PAPUA NEW GUINEA,Production,Onshore,Asia/Australasia,2015
374,374,"Maintenance, inspection, testing",Exposure electrical,GHANA,Production,Offshore,Africa,2017
375,375,"Maintenance, inspection, testing",Pressure release,UK,Drilling,Offshore,Europe,2016
377,377,Production operations,Pressure release,TUNISIA,Production,Onshore,Africa,2012
378,378,Production operations,Pressure release,AUSTRALIA,Production,Onshore,Asia/Australasia,2012
379,379,Production operations,Other,YEMEN,Production,Offshore,Middle East,2015
380,380,"Lifting, crane, rigging, deck operations",Struck by,USA,Production,Offshore,North America,2018
381,381,"Maintenance, inspection, testing",Struck by,UK,Production,Offshore,Europe,2012
382,382,"Maintenance, inspection, testing",Falls from height,UK,Production,Offshore,Europe,2016
383,383,"Transport - Water, incl. marine activity",Struck by,TRINIDAD & TOBAGO,Unspecified,Offshore,South & Central America,2012
384,384,Production operations,Pressure release,YEMEN,Production,Offshore,Middle East,2015
386,386,"Drilling, workover, well services","Exposure noise, chemical, biological, vibration",GUATEMALA,Drilling,Onshore,South & Central America,2014
387,387,Transport - Land,Other,UGANDA,Drilling,Onshore,Africa,2012
388,388,"Drilling, workover, well services",Struck by,ANGOLA,Drilling,Offshore,Africa,2013
389,389,"Drilling, workover, well services",Struck by,CANADA,Drilling,Onshore,North America,2017
390,390,"Drilling, workover, well services",Struck by,USA,Drilling,Onshore,North America,2016
393,393,Transport - Land,Struck by,PAKISTAN,Unspecified,Onshore,Asia/Australasia,2011
394,394,"Drilling, workover, well services",Struck by,CROATIA,Exploration,Onshore,Europe,2015
395,395,Production operations,Pressure release,THAILAND,Unspecified,Offshore,Asia/Australasia,2014
396,396,Production operations,Explosions or burns,QATAR,Production,Offshore,Middle East,2017
397,397,"Maintenance, inspection, testing",Struck by,MALAYSIA,Production,Offshore,Asia/Australasia,2017
398,398,Production operations,Pressure release,PAKISTAN,Production,Onshore,Asia/Australasia,2015
400,400,"Maintenance, inspection, testing","Exposure noise, chemical, biological, vibration",TUNISIA,Production,Offshore,Africa,2013
401,401,Transport - Land,"Caught in, under or between (excl. dropped objects)",ETHIOPIA,Exploration,Onshore,Africa,2013
402,402,"Lifting, crane, rigging, deck operations",Struck by,SOUTH KOREA,Construction,Onshore,Asia/Australasia,2016
403,403,"Transport - Water, incl. marine activity",Struck by,NORWAY,Unspecified,Onshore,Europe,2016
404,404,"Lifting, crane, rigging, deck operations",Struck by,NIGERIA,Production,Onshore,Africa,2017
405,405,"Lifting, crane, rigging, deck operations",Struck by,USA,Production,Offshore,North America,2018
406,406,Transport - Land,"Caught in, under or between (excl. dropped objects)",ROMANIA,Drilling,Onshore,Europe,2017
407,407,"Construction, commissioning, decommissioning",Pressure release,TUNISIA,Construction,Onshore,Africa,2017
408,408,Production operations,Pressure release,KAZAKHSTAN,Production,Onshore,Russia & Central Asia,2014
409,409,Transport - Land,"Caught in, under or between (excl. dropped objects)",ALGERIA,Drilling,Onshore,Africa,2013
410,410,"Maintenance, inspection, testing","Caught in, under or between (excl. dropped objects)",USA,Drilling,Onshore,North America,2014
411,411,Production operations,Pressure release,AZERBAIJAN,Production,Offshore,Russia & Central Asia,2013
412,412,"Drilling, workover, well services",Explosions or burns,CANADA,Drilling,Onshore,North America,2017
413,413,"Transport - Water, incl. marine activity",Struck by,TRINIDAD & TOBAGO,Unspecified,Offshore,South & Central America,2012
414,414,Transport - Land,Assault or violent act,KENYA,Drilling,Onshore,Africa,2014
415,415,"Transport - Water, incl. marine activity","Caught in, under or between (excl. dropped objects)",TURKMENISTAN,Drilling,Offshore,Russia & Central Asia,2009
416,416,"Drilling, workover, well services",Struck by,USA,Drilling,Onshore,North America,2012
417,417,Transport - Land,Struck by,VENEZUELA,Production,Onshore,South & Central America,2000
418,418,"Drilling, workover, well services",Struck by,USA,Production,Onshore,North America,2017
419,419,"Maintenance, inspection, testing",Pressure release,TUNISIA,Production,Offshore,Africa,2013
420,420,"Drilling, workover, well services",Other,FALKLAND ISLANDS,Drilling,Offshore,South & Central America,2016
421,421,Production operations,Other,AUSTRIA,Production,Onshore,Europe,2012
422,422,Production operations,Struck by,NEW ZEALAND,Production,Offshore,Asia/Australasia,2017
423,423,"Drilling, workover, well services",Struck by,USA,Drilling,Onshore,North America,2014
424,424,"Maintenance, inspection, testing",Explosions or burns,INDONESIA,Production,Offshore,Asia/Australasia,2012
425,425,Transport - Land,Struck by,INDIA,Unspecified,Onshore,Asia/Australasia,2010
426,426,"Drilling, workover, well services",Pressure release,ROMANIA,Drilling,Onshore,Europe,2010
427,427,"Transport - Water, incl. marine activity","Caught in, under or between (excl. dropped objects)",PAPUA NEW GUINEA,Production,Offshore,Asia/Australasia,2014
428,428,"Drilling, workover, well services",Pressure release,USA,Drilling,Onshore,North America,2017
429,429,"Lifting, crane, rigging, deck operations",Struck by,INDONESIA,Production,Onshore,Asia/Australasia,2015
430,430,"Construction, commissioning, decommissioning","Caught in, under or between (excl. dropped objects)",AUSTRALIA,Construction,Onshore,Asia/Australasia,2014
431,431,"Maintenance, inspection, testing","Caught in, under or between (excl. dropped objects)",KENYA,Exploration,Onshore,Africa,2012
432,432,"Drilling, workover, well services",Struck by,USA,Drilling,Onshore,North America,2015
433,433,Transport - Land,Struck by,PAKISTAN,Unspecified,Onshore,Asia/Australasia,2010
434,434,Production operations,Pressure release,AUSTRALIA,Production,Offshore,Asia/Australasia,2013
435,435,"Maintenance, inspection, testing",Confined space,CANADA,Production,Offshore,North America,2016
436,436,"Drilling, workover, well services",Explosions or burns,ROMANIA,Drilling,Onshore,Europe,2015
438,438,Transport - Air,Other,PAPUA NEW GUINEA,Unspecified,Onshore,Asia/Australasia,2009
439,439,"Construction, commissioning, decommissioning",Exposure electrical,ARGENTINA,Production,Onshore,South & Central America,2011
440,440,"Lifting, crane, rigging, deck operations",Struck by,RUSSIA,Drilling,Onshore,Russia & Central Asia,2012
441,441,"Drilling, workover, well services",Explosions or burns,THAILAND,Drilling,Onshore,Asia/Australasia,2009
443,443,Production operations,"Exposure noise, chemical, biological, vibration",ECUADOR,Production,Onshore,South & Central America,2017
445,445,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",USA,Production,Onshore,North America,2012
446,446,"Maintenance, inspection, testing","Exposure noise, chemical, biological, vibration",TUNISIA,Production,Offshore,Africa,2013
447,447,Transport - Air,Other,PAPUA NEW GUINEA,Unspecified,Onshore,Asia/Australasia,2009
448,448,"Lifting, crane, rigging, deck operations",Other,UK,Drilling,Offshore,Europe,2013
449,449,"Construction, commissioning, decommissioning",Exposure electrical,OMAN,Construction,Onshore,Middle East,2017
450,450,"Construction, commissioning, decommissioning",Pressure release,CANADA,Construction,Onshore,North America,2014
451,451,Transport - Air,Struck by,SUDAN,Other,Onshore,Africa,2000
452,452,Production operations,Explosions or burns,MALAYSIA,Production,Offshore,Asia/Australasia,2016
453,453,Transport - Land,"Caught in, under or between (excl. dropped objects)",ROMANIA,Drilling,Onshore,Europe,2017
